Exp100-Sample1.all_Tn5-CAAGTC_BC00214_N04	Early-Ery
Exp100-Sample1.all_Tn5-CAAGTC_BC00235_N04	Early-Ery
Exp100-Sample1.all_Tn5-CAAGTC_BC00351_N02	Early-Ery
Exp100-Sample1.all_Tn5-CAAGTC_BC00379_N01	CD8-like
Exp100-Sample1.all_Tn5-CAAGTC_BC00401_N01	NK-like
Exp100-Sample1.all_Tn5-CAAGTC_BC00480_N01	CD4-like
Exp100-Sample1.all_Tn5-CAAGTC_BC00482_N01	NK-like
Exp100-Sample1.all_Tn5-CAAGTC_BC00493_N01	CLP-like-2
Exp100-Sample1.all_Tn5-CAAGTC_BC00500_N01	CD34-like
Exp100-Sample1.all_Tn5-CAAGTC_BC00526_N03	mDC-like
Exp100-Sample1.all_Tn5-CAAGTC_BC00548_N03	mDC-like
Exp100-Sample1.all_Tn5-CAAGTC_BC00550_N01	B-like-2
Exp100-Sample1.all_Tn5-CAAGTC_BC00562_N03	CLP-like-2
Exp100-Sample1.all_Tn5-CAAGTC_BC00592_N01	CD4-like
Exp100-Sample1.all_Tn5-CAAGTC_BC00598_N02	CD4-like
Exp100-Sample1.all_Tn5-CAAGTC_BC00604_N01	CD4-like
Exp100-Sample1.all_Tn5-CAAGTC_BC00775_N02	CD8-like
Exp100-Sample1.all_Tn5-CAAGTC_BC00839_N01	mDC-like
Exp100-Sample1.all_Tn5-CAAGTC_BC00841_N02	CD8-like
Exp100-Sample1.all_Tn5-CAAGTC_BC00993_N02	CD4-like
Exp100-Sample1.all_Tn5-CAAGTC_BC01056_N03	Early-Ery
Exp100-Sample1.all_Tn5-CAAGTC_BC01061_N02	B-like-2
Exp100-Sample1.all_Tn5-CAAGTC_BC01113_N01	pDC-like
Exp100-Sample1.all_Tn5-CAAGTC_BC01191_N03	CD34-like
Exp100-Sample1.all_Tn5-CAAGTC_BC01316_N01	CD8-like
Exp100-Sample1.all_Tn5-CAAGTC_BC01465_N02	CD4-like
Exp100-Sample1.all_Tn5-CAAGTC_BC01509_N02	CD4-like
