cluster	gene
A1	Adhfe1
A1	Prex2
A1	Ncoa2
A1	Sbspon
A1	Ube2w
A1	Mir30a
A1	Arid5a
A1	Unc50
A1	Eif5b
A1	Map4k4
A1	Mfsd9
A1	Dnah7b
A1	Hibch
A1	Osgepl1
A1	Asnsd1
A1	Hspd1
A1	Bzw1
A1	Fzd7
A1	Gm973
A1	Pard3b
A1	Klf7
A1	Mir26b
A1	Stk16
A1	Dnpep
A1	Fbxo36
A1	2810459M11Rik
A1	Efhd1
A1	Cops8
A1	Hes6
A1	Hdac4
A1	Tfcp2l1
A1	Gli2
A1	Epb41l5
A1	Nckap5
A1	Slc41a1
A1	Rab29
A1	BC003331
A1	Ivns1abp
A1	Edem3
A1	Colgalt2
A1	Tor1aip1
A1	Suco
A1	2810442N19Rik
A1	Prrx1
A1	Sft2d2
A1	Usf1
A1	Ncstn
A1	Kcnj10
A1	Tfb2m
A1	Sccpdh
A1	Itpkb
A1	Brox
A1	Rab3gap2
A1	Mfsd7b
A1	A230020J21Rik
A1	Ppp2r5a
A1	Traf5
A1	Mtrf1l
A1	Cnksr3
A1	Hint3
A1	Smpd2
A1	Lims1
A1	Sept10
A1	Sowahc
A1	Anapc16
A1	Ppa1
A1	Tysnd1
A1	Aifm2
A1	Tspan15
A1	Gucd1
A1	S100b
A1	Trappc10
A1	Agpat3
A1	1600002K03Rik
A1	Pcsk4
A1	Mknk2
A1	Mob3a
A1	Cactin
A1	Mir1191b
A1	Tle2
A1	4930463O16Rik
A1	Rfx4
A1	Hsp90b1
A1	Ttc41
A1	Poc1b
A1	Galnt4
A1	Tmtc2
A1	Phlda1
A1	Rab21
A1	1700030O20Rik
A1	Rap1b
A1	Lrp1
A1	Slc39a5
A1	Rab5b
A1	Cdk2
A1	Rdh5
A1	Bloc1s1
A1	Mir3470a
A1	Drg1
A1	Mtmr3
A1	H2afv
A1	Otx1
A1	Xpo1
A1	4930505A04Rik
A1	Mpg
A1	Ubtd2
A1	0610009B22Rik
A1	Vdac1
A1	Mir7671
A1	Slc22a4
A1	Pdlim4
A1	Fnip1
A1	Lyrm7
A1	Hint1
A1	Tnip1
A1	Sap30l
A1	Mir6921
A1	Akap10
A1	Adora2b
A1	Ntn1
A1	Vamp2
A1	Tnfsf13
A1	Kctd11
A1	2810408A11Rik
A1	Gps2
A1	Eif5a
A1	Eno3
A1	Kif1c
A1	Derl2
A1	Tekt1
A1	Ggt6
A1	Emc6
A1	Serpinf2
A1	Ywhae
A1	Abr
A1	Nsrp1
A1	Nufip2
A1	Pipox
A1	Tlcd1
A1	Mir7653
A1	Rpl23a
A1	Snord4a
A1	Slc46a1
A1	Nlk
A1	Ksr1
A1	Mir193a
A1	Mir365-2
A1	Acaca
A1	Ggnbp2
A1	Ppm1d
A1	Mir5110
A1	2210416O15Rik
A1	0610039H22Rik
A1	C030037D09Rik
A1	Utp18
A1	Sgca
A1	Phospho1
A1	Atp5g1
A1	Gpr179
A1	Erbb2
A1	Acly
A1	Ptrf
A1	Brca1
A1	Nbr1
A1	Etv4
A1	Hdac5
A1	Fzd2
A1	Gfap
A1	Hexim1
A1	Ccdc47
A1	Ddx42
A1	Ern1
A1	Prkca
A1	Cep112
A1	1700096J18Rik
A1	Gm11696
A1	Gna13
A1	Gm11681
A1	Ttyh2
A1	Tmem104
A1	Grin2c
A1	Kctd2
A1	Snord1c
A1	Snord1a
A1	Mxra7
A1	Mfsd11
A1	Cyth1
A1	Slc25a10
A1	Dcxr
A1	Metrnl
A1	Rab10
A1	Fam228b
A1	Laptm4a
A1	Gen1
A1	Smc6
A1	Pdia6
A1	Cpsf3
A1	Dld
A1	Bzw2
A1	Mir1938
A1	Gm2027
A1	Ap4s1
A1	Egln3
A1	Psma6
A1	Pnn
A1	Fkbp3
A1	Sav1
A1	Lrrc9
A1	Fut8
A1	Lin52
A1	Npc2
A1	Eif2b2
A1	Fos
A1	Mfsd7c
A1	Gpatch2l
A1	Dio2
A1	Rps6ka5
A1	Gm20604
A1	Gm29508
A1	2810029C07Rik
A1	4930427A07Rik
A1	Sp4
A1	Sp8
A1	Gdi2
A1	Ggps1
A1	Psma2
A1	Gli3
A1	Yae1d1
A1	Sfrp4
A1	Zscan12
A1	Hist1h4j
A1	Aldh5a1
A1	E2f3
A1	Gmds
A1	Eci2
A1	Rpp40
A1	Fars2
A1	5033403F01Rik
A1	Id4
A1	A330048O09Rik
A1	Uimc1
A1	Nsd1
A1	Lman2
A1	Mir6943
A1	Neurog1
A1	Gkap1
A1	Mir7-1
A1	Rmi1
A1	Ctsl
A1	Lhfpl2
A1	Fcho2
A1	Ccnb1
A1	Pik3r1
A1	Trim23
A1	3830408C21Rik
A1	Gpbp1
A1	Plpp1
A1	Pelo
A1	Nnt
A1	Nim1k
A1	Fam107a
A1	Nid2
A1	Zmiz1
A1	Zcchc24
A1	Il17rb
A1	Prkcd
A1	Itih3
A1	Itih1
A1	Nt5dc2
A1	Capn7
A1	Dph3
A1	Ogdhl
A1	3425401B19Rik
A1	Mapk8
A1	Wapl
A1	Txndc16
A1	Ktn1
A1	Ajuba
A1	Efs
A1	Tinf2
A1	Ift88
A1	Fdft1
A1	Polr3d
A1	Mir320
A1	Tpt1
A1	Naa16
A1	Dis3
A1	Cln5
A1	Spry2
A1	Mir17
A1	Mir20a
A1	Sox21
A1	Gm9376
A1	Dnajc3
A1	Rap2a
A1	1810041H14Rik
A1	Gm5089
A1	Zic5
A1	Zic2
A1	Pcca
A1	Lifr
A1	Trio
A1	Sdc2
A1	Mtdh
A1	Stk3
A1	Osr2
A1	Ebag9
A1	Mtbp
A1	Zhx2
A1	Fam83a
A1	Zhx1
A1	Sqle
A1	Nsmce2
A1	9930014A18Rik
A1	Phf20l1
A1	Naprt
A1	Spatc1
A1	Smpd5
A1	Cacng2
A1	Tst
A1	Cdc42ep1
A1	Gga1
A1	Triobp
A1	H1f0
A1	Gcat
A1	Pla2g6
A1	Sun2
A1	Apobec3
A1	Chadl
A1	Aco2
A1	Cyp2d22
A1	Phf21b
A1	Fbln1
A1	Lncppara
A1	Mirlet7c-2
A1	Ppara
A1	Brd1
A1	Mov10l1
A1	Plxnb2
A1	9430014N10Rik
A1	Kansl2
A1	Eif4b
A1	Atp5g2
A1	1700037C18Rik
A1	Crebbp
A1	Eef2kmt
A1	1810013L24Rik
A1	Txndc11
A1	Mir484
A1	Crkl
A1	Ranbp1
A1	Dvl3
A1	Eif4g1
A1	Ephb3
A1	Magef1
A1	Snord2
A1	Tmem44
A1	Gtf2e1
A1	Timmdc1
A1	4932412D23Rik
A1	Mir3081
A1	Gm6936
A1	Cggbp1
A1	Atp5j
A1	Gabpa
A1	Cct8
A1	Scaf4
A1	Eva1c
A1	Ifnar2
A1	Gart
A1	Son
A1	Cryzl1
A1	Dopey2
A1	Dscr3
A1	Ezr
A1	Wtap
A1	Zfp983
A1	Zfp229
A1	Dcpp3
A1	Kctd5
A1	Rnps1
A1	Eci1
A1	Snora78
A1	Snora64
A1	Ndufb10
A1	Nubp2
A1	Cramp1l
A1	Syngap1
A1	Nudt3
A1	Tead3
A1	Stk38
A1	Ppil1
A1	Zfand3
A1	Cbs
A1	Cyp4f17
A1	Rab11b
A1	Ring1
A1	Slc39a7
A1	Gpsm3
