DropBarcode,FRIP,tssProportion,meanInsertSize,medianInsertSize,nHumanReads,nMouseReads,uniqueNuclearFrags,totalNuclearFrags,totalMitoFrags,totalNCfilteredFrags,duplicateProportion,librarySize
N701_Exp28_Sample1_S1_BC001_N01,0,0.048,124,104,229167,112,232249,477669,3894,4,0.514,286158
N701_Exp28_Sample1_S1_BC002_N01,0,0.194,207,187,99,68447,69455,137891,15867,3,0.496,87611
N701_Exp28_Sample1_S1_BC003_N01,0,0.065,131,104,47832,93,48489,107982,833,0,0.551,57110
N701_Exp28_Sample1_S1_BC004_N01,0,0.144,251,223,44259,276,45527,128962,203093,19,0.647,49071
N701_Exp28_Sample1_S1_BC005_N01,0,0.364,209,187,177,43125,43935,124311,15106,2,0.647,47369
N701_Exp28_Sample1_S1_BC006_N01,0,0.378,219,193,104,37472,38204,93917,9552,1,0.593,43070
N701_Exp28_Sample1_S1_BC007_N04,0,0.424,217,194,146,58724,48438,154042,10237,5,0.686,50908
N701_Exp28_Sample1_S1_BC008_N01,0,0.391,225,199,96,35367,36123,93541,11096,3,0.614,39973
N701_Exp28_Sample1_S1_BC009_N01,0,0.248,214,189,34396,183,35090,90873,69538,12,0.614,38829
N701_Exp28_Sample1_S1_BC010_N01,0,0.334,205,184,118,33820,34473,100353,46400,0,0.656,36906
N701_Exp28_Sample1_S1_BC011_N01,0,0.346,209,189,156,33231,33788,65335,16549,2,0.483,43444
N701_Exp28_Sample1_S1_BC012_N01,0,0.369,228,203,53,33061,33712,80766,14097,0,0.583,38398
N701_Exp28_Sample1_S1_BC013_N01,0,0.383,211,187,94,32782,33376,90417,21921,2,0.631,36417
N701_Exp28_Sample1_S1_BC014_N01,0,0.38,215,192,84,32814,33312,71632,14255,4,0.535,39972
N701_Exp28_Sample1_S1_BC015_N01,0,0.356,215,192,106,32020,32633,91589,18267,0,0.644,35258
N701_Exp28_Sample1_S1_BC016_N01,0,0.354,212,190,7676,23902,32019,71434,65554,5,0.552,37677
N701_Exp28_Sample1_S1_BC017_N01,0,0.332,221,197,7444,24020,31928,80757,70239,6,0.605,35618
N701_Exp28_Sample1_S1_BC018_N01,0,0.332,227,198,88,31039,31853,99836,20254,1,0.681,33568
