DropBarcode,FRIP,tssProportion,meanInsertSize,medianInsertSize,nHumanReads,nMouseReads,uniqueNuclearFrags,totalNuclearFrags,totalMitoFrags,totalNCfilteredFrags,duplicateProportion,librarySize
N715_Exp77_sample12_S1_BC001_N02,0,0.371,192,184,828,617120,627984,1241742,15785,786,0.494,794392
N715_Exp77_sample12_S1_BC002_N01,0,0.362,205,188,577,375585,381113,1196749,44617,442,0.682,401490
N715_Exp77_sample12_S1_BC003_N01,0,0.196,223,205,370844,1083,379246,1077558,427122,322,0.648,408446
N715_Exp77_sample12_S1_BC004_N01,0,0.329,216,195,445,335499,341242,1084750,27218,528,0.685,358669
N715_Exp77_sample12_S1_BC005_N01,0,0.206,225,214,332515,1249,339180,887966,480781,389,0.618,373991
N715_Exp77_sample12_S1_BC006_N01,0,0.086,185,158,329804,760,334369,1307040,383643,131,0.744,341838
N715_Exp77_sample12_S1_BC007_N01,0,0.352,212,193,122265,205069,332392,1043295,175298,491,0.681,350194
N715_Exp77_sample12_S1_BC008_N01,0,0.273,201,189,393,325099,329348,622053,5260,346,0.471,431307
N715_Exp77_sample12_S1_BC009_N02,0,0.298,208,194,639,428372,437215,1264711,5350,576,0.654,468789
N715_Exp77_sample12_S1_BC010_N01,0,0.299,216,194,471,313387,319721,1179813,3621,476,0.729,328813
N715_Exp77_sample12_S1_BC011_N01,0,0.281,210,199,312298,1412,317626,845450,553362,495,0.624,348401
N715_Exp77_sample12_S1_BC012_N01,0,0.282,202,184,592,307465,312165,1143190,12270,543,0.727,321324
N715_Exp77_sample12_S1_BC013_N01,0,0.313,204,189,481,302432,306913,997371,8051,589,0.692,321333
N715_Exp77_sample12_S1_BC014_N01,0,0.384,207,191,528,299957,304774,1090978,68425,576,0.721,314582
N715_Exp77_sample12_S1_BC015_N01,0,0.256,222,206,296450,718,301709,786416,266868,192,0.616,333147
N715_Exp77_sample12_S1_BC016_N01,0,0.304,200,186,415,292730,296951,945349,13866,456,0.686,312032
N715_Exp77_sample12_S1_BC017_N01,0,0.383,205,187,516,291237,296359,902149,19451,452,0.671,314138
N715_Exp77_sample12_S1_BC018_N01,0,0.356,205,188,433,290482,295034,922505,9264,601,0.68,311062
N715_Exp77_sample12_S1_BC019_N01,0,0.313,217,198,517,286196,290985,923250,5094,355,0.685,305951
N715_Exp77_sample12_S1_BC020_N01,0,0.269,212,201,284106,718,288429,831900,266942,226,0.653,309477
N715_Exp77_sample12_S1_BC021_N01,0,0.294,223,204,281431,860,286129,619021,177440,233,0.538,342183
N715_Exp77_sample12_S1_BC022_N02,0,0.266,216,197,529,370492,377912,1066867,12699,396,0.646,407685
N715_Exp77_sample12_S1_BC023_N01,0,0.265,219,208,278429,881,283652,901454,371204,265,0.685,298152
N715_Exp77_sample12_S1_BC024_N01,0,0.365,201,184,483,278276,283063,930774,27497,765,0.696,295777
N715_Exp77_sample12_S1_BC025_N01,0,0.395,212,192,498,276056,281135,956592,11341,431,0.706,292199
N715_Exp77_sample12_S1_BC026_N01,0,0.34,201,186,405,277060,281056,933834,7224,465,0.699,293186
N715_Exp77_sample12_S1_BC027_N01,0,0.346,205,190,459,274351,279099,967501,11018,463,0.712,289308
N715_Exp77_sample12_S1_BC028_N01,0,0.399,174,174,365,274283,277581,711356,13000,349,0.61,308247
N715_Exp77_sample12_S1_BC029_N01,0,0.365,217,196,383,272369,277443,860126,6973,334,0.677,293002
N715_Exp77_sample12_S1_BC030_N01,0,0.3,220,198,471,271441,276811,1083657,14255,254,0.745,282955
N715_Exp77_sample12_S1_BC031_N01,0,0.304,206,189,446,271318,275735,812120,13375,327,0.66,294393
N715_Exp77_sample12_S1_BC032_N01,0,0.39,196,180,383,271867,275687,976700,24115,556,0.718,284936
N715_Exp77_sample12_S1_BC033_N02,0,0.339,205,190,559,327288,338428,1143353,3722,798,0.704,352122
N715_Exp77_sample12_S1_BC034_N01,0,0.175,237,215,266254,528,271080,509854,104292,105,0.468,356212
N715_Exp77_sample12_S1_BC035_N04,0,0.282,223,213,384131,1176,342474,832584,482872,581,0.589,387776
N715_Exp77_sample12_S1_BC036_N01,0,0.397,207,190,365,265730,270128,918388,14675,399,0.706,280792
N715_Exp77_sample12_S1_BC037_N01,0,0.239,229,209,261649,875,266918,699809,272591,286,0.619,294174
N715_Exp77_sample12_S1_BC038_N01,0,0.287,219,205,256943,881,262136,889974,386895,375,0.705,272541
N715_Exp77_sample12_S1_BC039_N01,0,0.296,236,212,255391,808,260398,706516,106566,177,0.631,283997
N715_Exp77_sample12_S1_BC040_N02,0,0.395,212,194,504,339264,348282,1132670,17100,654,0.693,364598
N715_Exp77_sample12_S1_BC041_N01,0,0.315,217,198,399,254652,259414,856472,19664,351,0.697,270887
N715_Exp77_sample12_S1_BC042_N01,0,0.271,206,199,255993,690,259237,671467,282431,236,0.614,286844
N715_Exp77_sample12_S1_BC043_N01,0,0.294,229,206,253602,892,259131,777060,580082,299,0.667,275556
N715_Exp77_sample12_S1_BC044_N01,0,0.347,206,185,427,253621,258114,815624,10569,578,0.684,271594
N715_Exp77_sample12_S1_BC045_N01,0,0.29,233,211,251825,918,257570,960089,435896,305,0.732,264597
N715_Exp77_sample12_S1_BC046_N01,0,0.28,221,206,251802,853,257103,754703,473833,289,0.659,274713
N715_Exp77_sample12_S1_BC047_N01,0,0.251,234,210,251360,688,256443,725210,362592,229,0.646,276522
N715_Exp77_sample12_S1_BC048_N01,0,0.394,211,191,353,251314,255894,817775,4435,314,0.687,268704
N715_Exp77_sample12_S1_BC049_N01,0,0.299,204,191,300,249845,253418,659857,3781,316,0.616,279919
N715_Exp77_sample12_S1_BC050_N01,0,0.249,213,202,247782,641,252806,589531,193243,178,0.571,291304
N715_Exp77_sample12_S1_BC051_N01,0,0.286,216,201,246813,670,251274,669238,304193,247,0.625,275569
N715_Exp77_sample12_S1_BC052_N01,0,0.258,218,203,247367,672,251206,649652,405810,236,0.613,278102
N715_Exp77_sample12_S1_BC053_N01,0,0.222,230,212,245465,748,250332,758184,458022,285,0.67,265632
