cell_ID	tSNE1	tSNE2	cellType
CD34_Donor1_S1_BC0003_N01	21.41	15.23	CD34
CD34_Donor1_S1_BC0004_N01	21.40	15.27	CD34
CD34_Donor1_S1_BC0005_N01	23.48	16.29	CD34
CD34_Donor1_S1_BC0023_N01	9.82	-17.19	CD34
CD34_Donor1_S1_BC0025_N01	9.89	-28.90	CD34
CD34_Donor1_S1_BC0027_N01	18.15	13.85	CD34
CD34_Donor1_S1_BC0028_N01	5.94	-29.07	CD34
CD34_Donor1_S1_BC0034_N01	10.24	-4.65	CD34
CD34_Donor1_S1_BC0035_N01	24.30	19.89	CD34
CD34_Donor1_S1_BC0037_N01	11.43	-9.07	CD34
CD34_Donor1_S1_BC0038_N01	14.51	-9.87	CD34
CD34_Donor1_S1_BC0040_N01	13.53	-9.43	CD34
CD34_Donor1_S1_BC0049_N01	7.74	-5.12	CD34
CD34_Donor1_S1_BC0055_N01	2.34	-11.44	CD34
CD34_Donor1_S1_BC0058_N01	10.32	-9.42	CD34
CD34_Donor1_S1_BC0060_N01	22.28	-11.91	CD34
CD34_Donor1_S1_BC0066_N01	2.77	-15.75	CD34
CD34_Donor1_S1_BC0073_N01	9.53	-28.79	CD34
CD34_Donor1_S1_BC0074_N01	11.78	-19.92	CD34
CD34_Donor1_S1_BC0076_N01	6.69	-14.68	CD34
CD34_Donor1_S1_BC0077_N01	10.91	-9.25	CD34
CD34_Donor1_S1_BC0078_N01	9.90	-27.52	CD34
CD34_Donor1_S1_BC0079_N01	9.12	-29.24	CD34
CD34_Donor1_S1_BC0085_N01	14.97	-9.19	CD34
CD34_Donor1_S1_BC0089_N01	22.40	19.04	CD34
CD34_Donor1_S1_BC0091_N01	14.70	-10.55	CD34
CD34_Donor1_S1_BC0092_N01	12.95	-12.04	CD34
CD34_Donor1_S1_BC0093_N01	11.27	-10.08	CD34
CD34_Donor1_S1_BC0094_N01	14.80	-15.09	CD34
CD34_Donor1_S1_BC0100_N01	7.37	-13.17	CD34
CD34_Donor1_S1_BC0101_N01	17.74	-12.04	CD34
CD34_Donor1_S1_BC0103_N02	9.25	-10.42	CD34
CD34_Donor1_S1_BC0104_N01	10.38	-13.89	CD34
CD34_Donor1_S1_BC0106_N01	13.74	-10.18	CD34
CD34_Donor1_S1_BC0108_N01	4.58	-31.60	CD34
CD34_Donor1_S1_BC0112_N01	10.88	-18.42	CD34
CD34_Donor1_S1_BC0117_N01	14.61	-6.96	CD34
CD34_Donor1_S1_BC0120_N01	7.90	-4.86	CD34
CD34_Donor1_S1_BC0122_N01	25.64	-5.95	CD34
CD34_Donor1_S1_BC0123_N01	21.91	-21.94	CD34
CD34_Donor1_S1_BC0131_N01	6.74	-12.66	CD34
CD34_Donor1_S1_BC0132_N01	18.76	-11.31	CD34
CD34_Donor1_S1_BC0135_N01	22.17	-18.37	CD34
CD34_Donor1_S1_BC0136_N01	9.42	-28.93	CD34
CD34_Donor1_S1_BC0138_N01	3.35	-11.21	CD34
CD34_Donor1_S1_BC0140_N01	15.09	-14.36	CD34
CD34_Donor1_S1_BC0141_N01	7.24	-30.29	CD34
CD34_Donor1_S1_BC0144_N01	28.33	-2.05	CD34
CD34_Donor1_S1_BC0146_N01	9.53	-27.77	CD34
CD34_Donor1_S1_BC0148_N01	5.64	-28.93	CD34
CD34_Donor1_S1_BC0150_N01	3.25	5.16	CD34
CD34_Donor1_S1_BC0152_N01	16.42	-18.44	CD34
CD34_Donor1_S1_BC0155_N01	24.72	20.35	CD34
CD34_Donor1_S1_BC0158_N01	9.38	-28.73	CD34
CD34_Donor1_S1_BC0162_N01	21.98	-8.95	CD34
CD34_Donor1_S1_BC0170_N01	6.74	-12.72	CD34
CD34_Donor1_S1_BC0171_N01	24.72	-10.00	CD34
CD34_Donor1_S1_BC0172_N01	15.87	-17.22	CD34
CD34_Donor1_S1_BC0173_N01	15.59	-8.39	CD34
CD34_Donor1_S1_BC0174_N01	21.51	-13.23	CD34
CD34_Donor1_S1_BC0175_N01	12.55	-8.68	CD34
CD34_Donor1_S1_BC0178_N01	22.46	-7.69	CD34
CD34_Donor1_S1_BC0179_N01	9.56	-28.78	CD34
CD34_Donor1_S1_BC0181_N01	8.89	-2.94	CD34
CD34_Donor1_S1_BC0187_N01	6.69	-13.88	CD34
CD34_Donor1_S1_BC0189_N01	7.06	-30.76	CD34
CD34_Donor1_S1_BC0191_N01	16.94	-18.25	CD34
CD34_Donor1_S1_BC0192_N01	16.03	-16.74	CD34
CD34_Donor1_S1_BC0193_N01	7.52	-14.66	CD34
CD34_Donor1_S1_BC0195_N01	6.70	-7.49	CD34
CD34_Donor1_S1_BC0196_N01	13.49	-8.34	CD34
CD34_Donor1_S1_BC0197_N01	22.01	-12.39	CD34
CD34_Donor1_S1_BC0198_N01	8.31	-9.49	CD34
CD34_Donor1_S1_BC0199_N01	11.26	-18.79	CD34
CD34_Donor1_S1_BC0206_N01	15.14	-7.84	CD34
CD34_Donor1_S1_BC0207_N01	7.86	-12.76	CD34
CD34_Donor1_S1_BC0209_N01	12.21	-8.84	CD34
CD34_Donor1_S1_BC0211_N01	3.97	-29.73	CD34
CD34_Donor1_S1_BC0213_N01	22.73	4.00	CD34
CD34_Donor1_S1_BC0217_N01	11.33	-27.70	CD34
CD34_Donor1_S1_BC0218_N01	22.42	20.28	CD34
CD34_Donor1_S1_BC0219_N02	10.74	-27.63	CD34
CD34_Donor1_S1_BC0221_N01	7.46	-13.13	CD34
CD34_Donor1_S1_BC0225_N01	8.90	-1.64	CD34
CD34_Donor1_S1_BC0228_N01	14.10	-11.75	CD34
CD34_Donor1_S1_BC0230_N01	7.68	-30.60	CD34
CD34_Donor1_S1_BC0234_N01	20.24	-9.49	CD34
CD34_Donor1_S1_BC0235_N01	20.62	-19.07	CD34
CD34_Donor1_S1_BC0240_N01	2.27	-11.19	CD34
CD34_Donor1_S1_BC0241_N01	20.94	14.92	CD34
CD34_Donor1_S1_BC0242_N01	14.46	-3.49	CD34
CD34_Donor1_S1_BC0243_N01	4.22	-30.43	CD34
CD34_Donor1_S1_BC0244_N01	23.70	-10.74	CD34
CD34_Donor1_S1_BC0245_N01	7.81	-30.01	CD34
CD34_Donor1_S1_BC0246_N01	20.99	-12.32	CD34
CD34_Donor1_S1_BC0249_N01	11.27	-27.38	CD34
CD34_Donor1_S1_BC0253_N01	13.13	-9.60	CD34
CD34_Donor1_S1_BC0254_N01	11.98	-9.01	CD34
CD34_Donor1_S1_BC0255_N01	10.99	-9.27	CD34
CD34_Donor1_S1_BC0256_N01	15.06	-10.00	CD34
CD34_Donor1_S1_BC0258_N01	5.55	-6.96	CD34
CD34_Donor1_S1_BC0265_N01	8.26	-28.79	CD34
CD34_Donor1_S1_BC0266_N01	10.84	-27.60	CD34
CD34_Donor1_S1_BC0267_N01	10.25	-17.16	CD34
CD34_Donor1_S1_BC0268_N01	12.26	-8.70	CD34
CD34_Donor1_S1_BC0269_N01	21.01	-16.95	CD34
CD34_Donor1_S1_BC0270_N01	7.64	-13.81	CD34
CD34_Donor1_S1_BC0272_N01	14.33	-8.40	CD34
CD34_Donor1_S1_BC0274_N01	13.44	-8.17	CD34
CD34_Donor1_S1_BC0275_N01	8.82	-28.92	CD34
CD34_Donor1_S1_BC0277_N01	23.01	-3.41	CD34
CD34_Donor1_S1_BC0278_N01	24.60	-5.88	CD34
CD34_Donor1_S1_BC0280_N01	8.29	-29.58	CD34
CD34_Donor1_S1_BC0282_N01	13.38	-8.21	CD34
CD34_Donor1_S1_BC0283_N01	10.48	-20.15	CD34
CD34_Donor1_S1_BC0285_N01	25.07	21.11	CD34
CD34_Donor1_S1_BC0291_N01	2.03	-31.18	CD34
CD34_Donor1_S1_BC0295_N01	5.01	-18.29	CD34
CD34_Donor1_S1_BC0298_N01	11.91	-13.06	CD34
CD34_Donor1_S1_BC0299_N01	24.65	19.98	CD34
CD34_Donor1_S1_BC0300_N01	19.91	-9.31	CD34
CD34_Donor1_S1_BC0301_N01	9.40	-28.62	CD34
CD34_Donor1_S1_BC0305_N01	8.96	-0.40	CD34
CD34_Donor1_S1_BC0306_N01	21.74	-0.13	CD34
CD34_Donor1_S1_BC0318_N01	28.05	-2.34	CD34
CD34_Donor1_S1_BC0319_N01	8.65	19.98	CD34
CD34_Donor1_S1_BC0323_N01	5.61	-18.09	CD34
CD34_Donor1_S1_BC0324_N01	7.83	-13.83	CD34
CD34_Donor1_S1_BC0325_N01	13.74	-12.91	CD34
