tSNE1	tSNE2	cluster	cell_id
22.95	5.89	proB	Exp100-Sample1.all_Tn5-AAAGAA_BC00115_N02
-0.09	-30.91	HSPC	Exp100-Sample1.all_Tn5-AAAGAA_BC01204_N01
9.24	20.28	preB	Exp100-Sample1.all_Tn5-AAAGAA_BC01327_N01
-6.45	2.91	CD8	Exp100-Sample1.all_Tn5-AAAGAA_BC01383_N04
-15.54	-8.12	CD4	Exp100-Sample1.all_Tn5-AAAGAA_BC01540_N02
-20.02	3.96	CD4	Exp100-Sample1.all_Tn5-AAAGAA_BC01556_N01
2.49	20.86	NK	Exp100-Sample1.all_Tn5-AAAGAA_BC01638_N01
-7.73	14.14	CD8	Exp100-Sample1.all_Tn5-AAAGAA_BC01785_N02
11.59	-16.78	Mono-2	Exp100-Sample1.all_Tn5-AAAGAA_BC01804_N02
-1.94	27.52	NK	Exp100-Sample1.all_Tn5-AAAGAA_BC01871_N02
-25.88	6.64	CD4	Exp100-Sample1.all_Tn5-AAAGAA_BC01933_N01
12.46	8.89	preB	Exp100-Sample1.all_Tn5-AAAGAA_BC02247_N02
8.84	-17.86	Mono-2	Exp100-Sample1.all_Tn5-AAAGAA_BC02255_N03
20.79	9.22	proB	Exp100-Sample1.all_Tn5-AAAGAA_BC02266_N03
-16.81	-1.46	CD4	Exp100-Sample1.all_Tn5-AAAGAA_BC02318_N02
-15.53	-2.91	CD4	Exp100-Sample1.all_Tn5-AAAGAA_BC02365_N02
-14.15	17.95	CD8	Exp100-Sample1.all_Tn5-AAAGAA_BC02403_N02
-0.8	24.09	NK	Exp100-Sample1.all_Tn5-AAAGAA_BC02517_N03
17.64	13.09	preB	Exp100-Sample1.all_Tn5-AAAGAA_BC02530_N03
15.75	-11.93	Mono-1	Exp100-Sample1.all_Tn5-AAAGAA_BC02562_N02
0.52	21.62	NK	Exp100-Sample1.all_Tn5-AAAGAA_BC02613_N01
-7.87	-6.1	CD4	Exp100-Sample1.all_Tn5-AAAGAA_BC02619_N01
-6.86	24.79	NK	Exp100-Sample1.all_Tn5-AAAGAA_BC02705_N03
4.66	-21.72	HSPC	Exp100-Sample1.all_Tn5-AAAGAA_BC02764_N05
-15.91	8.43	CD4	Exp100-Sample1.all_Tn5-AAAGAA_BC02811_N02
-19.97	4.11	CD4	Exp100-Sample1.all_Tn5-AAAGAA_BC02863_N03
-20.71	-15.62	CD4	Exp100-Sample1.all_Tn5-AAAGAA_BC02922_N03
-6.24	-3.57	CD8	Exp100-Sample1.all_Tn5-AAAGAA_BC02970_N02
9.85	19.76	preB	Exp100-Sample1.all_Tn5-AAAGAA_BC03053_N01
-10.54	-26.14	pDC	Exp100-Sample1.all_Tn5-AAAGAA_BC03140_N01
-12.93	14.13	CD8	Exp100-Sample1.all_Tn5-AAAGAA_BC03266_N03
-21.8	-4.31	CD4	Exp100-Sample1.all_Tn5-AAAGAA_BC03272_N03
-14.43	-1.73	CD4	Exp100-Sample1.all_Tn5-AAAGAA_BC03310_N03
-12.26	13.66	CD8	Exp100-Sample1.all_Tn5-AAAGAA_BC03338_N01
6.81	-15.82	Mono-1	Exp100-Sample1.all_Tn5-AAAGAA_BC03346_N03
12.34	9.7	preB	Exp100-Sample1.all_Tn5-AAAGAA_BC03391_N03
14.14	20.01	preB	Exp100-Sample1.all_Tn5-AAAGAA_BC03470_N04
-14.52	-12.66	CD4	Exp100-Sample1.all_Tn5-AAAGAA_BC03485_N01
-0.03	20.54	NK	Exp100-Sample1.all_Tn5-AAAGAA_BC03528_N01
