tSNE1	tSNE2	cluster_id	cell_id
-2.44	4.19	V9	N701_Exp119_sample1_S1_BC0003_N01
15.64	-7.13	V13	N701_Exp119_sample1_S1_BC0004_N01
11.2	-9.72	V13	N701_Exp119_sample1_S1_BC0005_N01
26.44	-3.92	V16	N701_Exp119_sample1_S1_BC0006_N01
-9.39	24.96	V3	N701_Exp119_sample1_S1_BC0007_N02
-9.83	21.09	V3	N701_Exp119_sample1_S1_BC0008_N01
-6.82	-17.47	V23	N701_Exp119_sample1_S1_BC0009_N01
-8.55	30.47	V15	N701_Exp119_sample1_S1_BC0010_N01
3.4	3.72	V21	N701_Exp119_sample1_S1_BC0011_N01
10.75	15.69	V20	N701_Exp119_sample1_S1_BC0012_N01
24.04	-2.68	V21	N701_Exp119_sample1_S1_BC0013_N01
-7.25	-26.6	V22	N701_Exp119_sample1_S1_BC0014_N01
1.58	10.79	V25	N701_Exp119_sample1_S1_BC0016_N01
-34.49	-6.5	V10	N701_Exp119_sample1_S1_BC0017_N01
-11.19	10.51	V25	N701_Exp119_sample1_S1_BC0018_N01
-8.95	-2.61	V17	N701_Exp119_sample1_S1_BC0019_N02
18.45	0.51	V21	N701_Exp119_sample1_S1_BC0020_N02
8.86	9.52	V25	N701_Exp119_sample1_S1_BC0021_N01
27.83	-6.09	V16	N701_Exp119_sample1_S1_BC0022_N01
12.49	-12.27	V13	N701_Exp119_sample1_S1_BC0023_N01
-5.29	23.1	V3	N701_Exp119_sample1_S1_BC0024_N02
-13.95	30.14	V15	N701_Exp119_sample1_S1_BC0025_N01
-4.2	0.89	V25	N701_Exp119_sample1_S1_BC0026_N01
-7.37	21.89	V3	N701_Exp119_sample1_S1_BC0027_N01
17.15	-10	V13	N701_Exp119_sample1_S1_BC0028_N01
17.56	1.93	V21	N701_Exp119_sample1_S1_BC0029_N02
23.43	-5.02	V21	N701_Exp119_sample1_S1_BC0030_N01
-7	-2.38	V17	N701_Exp119_sample1_S1_BC0031_N02
-36.09	-3.69	V10	N701_Exp119_sample1_S1_BC0032_N02
-7.25	-26.66	V22	N701_Exp119_sample1_S1_BC0033_N01
5.24	5.59	V21	N701_Exp119_sample1_S1_BC0034_N01
18.84	-9.32	V13	N701_Exp119_sample1_S1_BC0035_N01
28.6	-21.73	V9	N701_Exp119_sample1_S1_BC0036_N01
16.47	-8.23	V13	N701_Exp119_sample1_S1_BC0038_N01
16.07	-25.13	V5	N701_Exp119_sample1_S1_BC0039_N01
10.62	15.76	V20	N701_Exp119_sample1_S1_BC0040_N01
28.28	-0.33	V16	N701_Exp119_sample1_S1_BC0041_N01
12.77	-10.72	V13	N701_Exp119_sample1_S1_BC0042_N01
29.86	9.48	V8	N701_Exp119_sample1_S1_BC0043_N02
4.26	-20.71	V23	N701_Exp119_sample1_S1_BC0044_N01
-10.84	9.99	V25	N701_Exp119_sample1_S1_BC0045_N01
6.13	-17.46	V13	N701_Exp119_sample1_S1_BC0046_N01
29.86	-4.22	V16	N701_Exp119_sample1_S1_BC0047_N02
1.28	3.26	V25	N701_Exp119_sample1_S1_BC0048_N02
-1.84	6.05	V25	N701_Exp119_sample1_S1_BC0049_N03
-8.09	31.79	V15	N701_Exp119_sample1_S1_BC0050_N01
-12.4	7.9	V25	N701_Exp119_sample1_S1_BC0051_N01
25.55	9.25	V21	N701_Exp119_sample1_S1_BC0052_N02
-37.05	-4.42	V10	N701_Exp119_sample1_S1_BC0053_N01
-3.4	12.79	V25	N701_Exp119_sample1_S1_BC0054_N01
-33.04	1.04	V10	N701_Exp119_sample1_S1_BC0055_N02
13.98	-12.47	V13	N701_Exp119_sample1_S1_BC0056_N02
-9.52	21.02	V3	N701_Exp119_sample1_S1_BC0057_N01
10.5	-11.87	V13	N701_Exp119_sample1_S1_BC0058_N01
-1.58	36.33	V11	N701_Exp119_sample1_S1_BC0059_N01
17	-27.01	V5	N701_Exp119_sample1_S1_BC0061_N01
28.89	-18.56	V9	N701_Exp119_sample1_S1_BC0062_N01
3.22	8.92	V25	N701_Exp119_sample1_S1_BC0063_N01
-0.68	0.02	V25	N701_Exp119_sample1_S1_BC0064_N01
-11.74	21.02	V3	N701_Exp119_sample1_S1_BC0065_N01
6.6	-27.22	V14	N701_Exp119_sample1_S1_BC0066_N01
17.37	-29.29	V5	N701_Exp119_sample1_S1_BC0067_N02
-1.25	5.85	V25	N701_Exp119_sample1_S1_BC0068_N01
4.56	-18.11	V23	N701_Exp119_sample1_S1_BC0069_N01
-12.44	21.52	V3	N701_Exp119_sample1_S1_BC0070_N02
-7.14	-2.77	V17	N701_Exp119_sample1_S1_BC0071_N01
-8.34	23.69	V3	N701_Exp119_sample1_S1_BC0072_N02
-23.09	2.89	V2	N701_Exp119_sample1_S1_BC0073_N01
-0.07	3.98	V25	N701_Exp119_sample1_S1_BC0074_N01
13.64	-8.4	V13	N701_Exp119_sample1_S1_BC0076_N02
-5.87	11.33	V25	N701_Exp119_sample1_S1_BC0077_N01
16.58	-11.4	V13	N701_Exp119_sample1_S1_BC0078_N01
12.35	-8.45	V13	N701_Exp119_sample1_S1_BC0079_N01
3.25	5.28	V25	N701_Exp119_sample1_S1_BC0080_N01
14.16	-8.71	V13	N701_Exp119_sample1_S1_BC0081_N01
20.25	-4.83	V21	N701_Exp119_sample1_S1_BC0082_N01
22.77	-20.31	V9	N701_Exp119_sample1_S1_BC0083_N01
9.6	8.67	V25	N701_Exp119_sample1_S1_BC0084_N01
20.57	-3.27	V21	N701_Exp119_sample1_S1_BC0085_N02
17.8	-8.84	V13	N701_Exp119_sample1_S1_BC0086_N02
10.88	-8.78	V13	N701_Exp119_sample1_S1_BC0087_N01
-0.58	5.63	V25	N701_Exp119_sample1_S1_BC0088_N01
7.59	9.54	V21	N701_Exp119_sample1_S1_BC0089_N02
-19.7	0.04	V2	N701_Exp119_sample1_S1_BC0090_N02
-7.08	24.18	V3	N701_Exp119_sample1_S1_BC0091_N02
-7.17	12	V25	N701_Exp119_sample1_S1_BC0092_N01
4.63	-19.42	V23	N701_Exp119_sample1_S1_BC0093_N01
10.01	-15.08	V13	N701_Exp119_sample1_S1_BC0094_N01
-1.16	20.1	V11	N701_Exp119_sample1_S1_BC0095_N02
7.64	15.08	V20	N701_Exp119_sample1_S1_BC0096_N01
-2.39	9.15	V25	N701_Exp119_sample1_S1_BC0097_N01
-20.01	1.05	V2	N701_Exp119_sample1_S1_BC0098_N02
3.95	-19.8	V23	N701_Exp119_sample1_S1_BC0099_N01
-34.01	-6.76	V10	N701_Exp119_sample1_S1_BC0100_N01
-3.56	8.21	V25	N701_Exp119_sample1_S1_BC0101_N02
-10.25	11	V25	N701_Exp119_sample1_S1_BC0102_N01
-6.63	24.21	V3	N701_Exp119_sample1_S1_BC0103_N02
23.48	-17.85	V9	N701_Exp119_sample1_S1_BC0104_N01
