Cluster ID	About	Gene1	Gene2	Gene3	Gene4	Gene5
TEGLU1	Marker	Myl4	Cpne4	Olfm3	Gm11549	Plcxd2
TEGLU1	Specificity	0.00	0.50	1.00	1.00	1.00
TEGLU1	Selectivity	7.00	1.00	1.00	1.00	1.00
TEGLU1	Robustness	1.00	1.00	1.00	1.00	1.00
TEGLU3	Marker	Rprm	Rell1	3110035E14Rik	Tbr1	Garnl3
TEGLU3	Specificity	0.00	1.00	1.00	1.00	1.00
TEGLU3	Selectivity	6.00	1.00	1.00	1.00	1.00
TEGLU3	Robustness	1.00	1.00	1.00	1.00	1.00
TEGLU2	Marker	Cplx3	Nxph3	Hs3st4	Ipcef1	Mpped1
TEGLU2	Specificity	0.00	0.10	0.30	0.30	1.00
TEGLU2	Selectivity	12.00	1.00	1.00	1.00	1.00
TEGLU2	Robustness	1.00	1.00	1.00	1.00	1.00
TEGLU20	Marker	Sulf1	Prss12	1110032F04Rik	Cnih3	Ptpru
TEGLU20	Specificity	0.00	0.30	0.40	0.40	0.40
TEGLU20	Selectivity	8.00	1.00	1.00	1.00	1.00
TEGLU20	Robustness	1.00	1.00	1.00	1.00	1.00
TEGLU11	Marker	Igfbp6	C130074G19Rik	Rasl10a	Satb2	Ovol2
TEGLU11	Specificity	0.00	1.00	1.00	1.00	1.00
TEGLU11	Selectivity	9.00	1.00	1.00	1.00	1.00
TEGLU11	Robustness	1.00	1.00	1.00	1.00	1.00
TEGLU12	Marker	Nr4a2	Col24a1	Oprk1	B3gat2	Kcnv1
TEGLU12	Specificity	0.00	1.00	1.00	1.00	1.00
TEGLU12	Selectivity	18.00	1.00	1.00	1.00	1.00
TEGLU12	Robustness	1.00	1.00	1.00	1.00	1.00
TEGLU10	Marker	Hs3st2	Vipr1	Pde1a	Satb2	Slc17a7
TEGLU10	Specificity	0.00	0.10	0.10	0.10	0.10
TEGLU10	Selectivity	10.00	1.00	1.00	1.00	1.00
TEGLU10	Robustness	1.00	1.00	1.00	1.00	1.00
TEGLU9	Marker	Dkkl1	Galntl6	Pkib	Satb2	Nrep
TEGLU9	Specificity	0.00	1.00	1.00	1.00	1.00
TEGLU9	Selectivity	8.00	1.00	1.00	1.00	1.00
TEGLU9	Robustness	1.00	1.00	1.00	1.00	1.00
TEGLU8	Marker	Krt12	Tcap	A830036E02Rik	Tnnc1	Ovol2
TEGLU8	Specificity	0.00	1.00	1.00	1.00	1.00
TEGLU8	Selectivity	8.00	1.00	1.00	1.00	1.00
TEGLU8	Robustness	1.00	1.00	1.00	1.00	1.00
TEGLU7	Marker	A830009L08Rik	Gm12371	Lamp5	Calb1	Dact2
TEGLU7	Specificity	0.00	1.00	1.00	1.00	1.00
TEGLU7	Selectivity	12.00	1.00	1.00	1.00	1.00
TEGLU7	Robustness	1.00	1.00	1.00	1.00	1.00
TEGLU6	Marker	Tshz2	Ddit4l	Neurod6	Dkk3	Hlf
TEGLU6	Specificity	0.00	1.00	1.00	1.00	1.00
TEGLU6	Selectivity	7.00	1.00	1.00	1.00	1.00
TEGLU6	Robustness	1.00	1.00	1.00	1.00	1.00
TEGLU13	Marker	Wfs1	RP24-134N2.1	Vwc2l	Lhx2	Prkcg
TEGLU13	Specificity	0.00	0.10	0.10	0.90	1.00
TEGLU13	Selectivity	15.00	1.00	1.00	1.00	1.00
TEGLU13	Robustness	1.00	1.00	1.00	1.00	1.00
