gene.ID,geneID_UCSC,gene.name,chrom,strand,Tx.start,Tx.end,TSS
mm10-1,NM_001011874,Xkr4,chr1,-,3214481,3671498,3671498
mm10-2,"NM_001195662,NM_011283",Rp1,chr1,-,4290845,4409241,4409241
mm10-3,"NM_001289467,NM_001289466,NM_001289465,NM_001289464,NM_011441",Sox17,chr1,-,4490927,4497354,4497354
mm10-4,"NM_001177658,NM_025300,NR_033530",Mrpl15,chr1,-,4773199,4785726,4785726
mm10-5,NM_008866,Lypla1,chr1,+,4807892,4846735,4807892
mm10-6,"NM_011541,NM_001159751,NM_001159750",Tcea1,chr1,+,4857693,4897909,4857693
mm10-7,"NM_001177795,NM_001290372,NM_021374",Rgs20,chr1,-,4909575,5070285,5070285
mm10-8,"NM_133826,NM_001310442",Atp6v1h,chr1,+,5083085,5162549,5083085
mm10-9,"NM_011011,NM_001318735,NM_001204371",Oprk1,chr1,+,5588492,5606133,5588492
mm10-10,NM_010342,Npbwr1,chr1,-,5913706,5917398,5917398
mm10-11,NM_009826,Rb1cc1,chr1,+,6214661,6276104,6214661
mm10-12,NM_001195732,Fam150a,chr1,+,6359330,6394731,6359330
mm10-13,"NM_001244692,NM_173868,NM_001244693,NR_045189,NR_045188",St18,chr1,+,6487230,6860940,6487230
mm10-14,NM_183028,Pcmtd1,chr1,+,7088919,7173628,7088919
mm10-15,"NM_027671,NM_001290393,NM_001290392,NM_001290390",Sntg1,chr1,-,8359738,9299877,9299877
mm10-16,NM_021511,Rrs1,chr1,+,9545407,9547455,9545407
mm10-17,"NR_027664,NM_175236",Adhfe1,chr1,+,9548045,9577968,9548045
mm10-18,NR_015470,2610203C22Rik,chr1,-,9560832,9631092,9631092
mm10-19,NM_178399,3110035E14Rik,chr1,+,9601266,9627142,9601266
mm10-20,"NM_001290397,NM_008651",Mybl1,chr1,-,9667410,9700209,9700209
mm10-21,NM_173443,Vcpip1,chr1,-,9718621,9748382,9748382
mm10-22,NR_040462,1700034P13Rik,chr1,+,9747647,9771256,9747647
mm10-23,"NM_177547,NM_001037759,NM_133220",Sgk3,chr1,+,9798129,9902568,9798129
mm10-24,NM_177722,Mcmdc2,chr1,+,9908637,9940954,9908637
mm10-25,NR_024067,Snhg6,chr1,-,9942024,9944118,9944118
mm10-26,NR_004410,Snord87,chr1,-,9942469,9942543,9942543
mm10-27,NM_001285425,Tcf24,chr1,-,9960162,9967485,9967485
mm10-28,"NM_145692,NR_110971",Ppp1r42,chr1,-,9968621,10009136,10009136
mm10-29,"NM_001277101,NR_102282,NM_013715",Cops5,chr1,-,10024599,10038159,10038159
mm10-30,NM_026493,Cspp1,chr1,+,10038217,10136768,10038217
mm10-31,NM_001102430,Arfgef1,chr1,-,10137506,10232670,10232670
mm10-32,"NM_001289497,NM_177834",Cpa6,chr1,-,10324718,10719945,10719945
mm10-33,NR_030645,Mir467e,chr1,-,10708386,10865874,10865874
mm10-34,"NM_029525,NM_001033636",Prex2,chr1,+,10993464,11303682,10993464
mm10-35,"NM_001160371,NM_001160369,NM_001160370,NM_177173,NM_001310451",A830018L16Rik,chr1,+,11414104,11975902,11414104
mm10-36,NR_105759,Mir6341,chr1,+,12425985,12426106,12425985
mm10-37,NR_045297,Gm17644,chr1,+,12667562,12673090,12667562
mm10-38,"NM_001198566,NM_001198565,NM_172294",Sulf1,chr1,+,12692429,12860372,12692429
mm10-39,NM_172841,Slco5a1,chr1,-,12866549,12991135,12991135
mm10-40,NM_001081209,Prdm14,chr1,-,13113427,13127163,13127163
mm10-41,"NM_008678,NM_001302702",Ncoa2,chr1,-,13139104,13374083,13374083
mm10-42,NM_028173,Tram1,chr1,-,13564692,13589910,13589910
mm10-43,NM_145381,Lactb2,chr1,-,13625899,13660509,13660509
